I, [2015-03-09T15:26:19.370686 #59376]  INFO -- Kitchen: -----> Starting Kitchen (v1.2.1)
E, [2015-03-09T15:26:19.371117 #59376] ERROR -- Kitchen: ------Exception-------
E, [2015-03-09T15:26:19.371178 #59376] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2015-03-09T15:26:19.371216 #59376] ERROR -- Kitchen: Message: Kitchen YAML file /Users/aaronb/Planet/hw/hw-cookbooks/runit/files/default/.kitchen.yml does not exist.
E, [2015-03-09T15:26:19.371258 #59376] ERROR -- Kitchen: ------Backtrace-------
E, [2015-03-09T15:26:19.371284 #59376] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.1.2/gems/test-kitchen-1.2.1/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2015-03-09T15:26:19.371338 #59376] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.1.2/gems/test-kitchen-1.2.1/lib/kitchen/config.rb:78:in `data'
E, [2015-03-09T15:26:19.371362 #59376] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.1.2/gems/test-kitchen-1.2.1/lib/kitchen/config.rb:66:in `suites'
E, [2015-03-09T15:26:19.371379 #59376] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.1.2/gems/test-kitchen-1.2.1/lib/kitchen/config.rb:90:in `filter_instances'
E, [2015-03-09T15:26:19.371394 #59376] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.1.2/gems/test-kitchen-1.2.1/lib/kitchen/config.rb:72:in `build_instances'
E, [2015-03-09T15:26:19.371409 #59376] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.1.2/gems/test-kitchen-1.2.1/lib/kitchen/config.rb:52:in `instances'
E, [2015-03-09T15:26:19.371428 #59376] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.1.2/gems/test-kitchen-1.2.1/lib/kitchen/command.rb:64:in `get_filtered_instances'
E, [2015-03-09T15:26:19.371452 #59376] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.1.2/gems/test-kitchen-1.2.1/lib/kitchen/command.rb:85:in `parse_subcommand'
E, [2015-03-09T15:26:19.371484 #59376] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.1.2/gems/test-kitchen-1.2.1/lib/kitchen/command/action.rb:37:in `block in call'
E, [2015-03-09T15:26:19.371500 #59376] ERROR -- Kitchen: /usr/local/rvm/rubies/ruby-2.1.2/lib/ruby/2.1.0/benchmark.rb:279:in `measure'
E, [2015-03-09T15:26:19.371514 #59376] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.1.2/gems/test-kitchen-1.2.1/lib/kitchen/command/action.rb:36:in `call'
E, [2015-03-09T15:26:19.371529 #59376] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.1.2/gems/test-kitchen-1.2.1/lib/kitchen/cli.rb:47:in `perform'
